iter	Passed	Remaining
465	1293	496
466	1296	494
467	1299	491
468	1302	488
469	1305	485
470	1306	482
471	1309	479
472	1312	477
473	1314	474
474	1317	471
475	1320	468
476	1322	465
477	1325	462
478	1328	460
479	1330	457
480	1333	454
481	1336	451
482	1338	448
483	1341	446
484	1344	443
485	1347	440
486	1350	438
487	1353	435
488	1355	432
489	1357	429
490	1360	426
491	1363	424
492	1366	421
493	1368	418
494	1370	415
495	1373	412
496	1375	409
497	1378	406
498	1381	404
499	1384	401
500	1386	398
501	1389	395
502	1392	393
503	1395	390
504	1398	387
505	1401	384
506	1403	381
507	1406	379
508	1409	376
509	1411	373
510	1414	371
511	1417	368
512	1419	365
513	1422	362
514	1425	359
515	1428	357
516	1431	354
517	1432	351
518	1434	348
519	1437	345
520	1440	342
521	1443	340
522	1446	337
523	1448	334
524	1451	331
525	1454	329
526	1456	326
527	1459	323
528	1462	320
529	1464	317
530	1467	315
531	1470	312
532	1473	309
533	1476	306
534	1478	304
535	1481	301
536	1484	298
537	1486	295
538	1489	292
539	1492	290
540	1494	287
541	1496	284
542	1499	281
543	1502	278
544	1505	276
545	1508	273
546	1511	270
547	1515	268
548	1518	265
549	1521	262
550	1524	259
551	1526	257
552	1527	254
553	1530	251
554	1533	248
555	1536	245
556	1539	243
557	1542	240
558	1544	237
559	1547	234
560	1550	232
561	1552	229
562	1555	226
563	1558	223
564	1559	220
565	1562	218
566	1565	215
567	1568	212
568	1570	209
569	1573	207
570	1575	204
571	1578	201
572	1581	198
573	1584	195
574	1586	193
575	1589	190
576	1592	187
577	1594	184
578	1597	182
579	1600	179
580	1603	176
581	1605	173
582	1607	171
583	1610	168
584	1613	165
585	1616	162
586	1619	160
587	1621	157
588	1624	154
589	1627	151
590	1630	148
591	1632	146
592	1635	143
593	1638	140
594	1640	137
595	1643	135
596	1647	132
597	1650	129
598	1652	126
599	1654	124
600	1657	121
601	1660	118
602	1663	115
603	1665	113
604	1668	110
605	1670	107
606	1673	104
607	1675	101
608	1678	99
609	1681	96
610	1684	93
611	1686	90
612	1689	88
613	1692	85
614	1695	82
615	1698	79
616	1701	77
617	1703	74
618	1706	71
619	1708	68
620	1711	66
621	1714	63
622	1717	60
623	1719	57
624	1722	55
625	1725	52
626	1728	49
627	1731	46
628	1733	44
629	1736	41
630	1738	38
631	1741	35
632	1744	33
633	1747	30
634	1749	27
635	1751	24
636	1754	22
637	1757	19
638	1760	16
639	1763	13
640	1764	11
641	1767	8
642	1770	5
643	1773	2
644	1776	0
