iter	RMSE
201	1469.21809
202	1455.164563
203	1438.165588
204	1434.350923
205	1408.446137
206	1404.67887
207	1401.045884
208	1389.451641
209	1385.8039
210	1367.817555
211	1364.235057
212	1349.775615
213	1346.229862
214	1342.763383
215	1338.562672
216	1335.086536
217	1314.845064
218	1311.407174
219	1304.153278
220	1300.843341
221	1287.619422
222	1284.328061
223	1281.185091
224	1264.878286
225	1237.315742
226	1233.974923
227	1230.777918
228	1227.691944
229	1224.760088
230	1215.376034
231	1211.083462
232	1203.183784
233	1200.151658
234	1183.435102
235	1180.510056
236	1177.592967
237	1159.614049
238	1157.036229
239	1153.578288
240	1150.729839
241	1147.922622
242	1145.249646
243	1141.630365
244	1138.983587
245	1136.289542
246	1133.428732
247	1130.712594
248	1103.649794
249	1100.855131
250	1098.458606
251	1095.591327
252	1092.996375
253	1088.201923
254	1065.680518
255	1053.349433
256	1044.463242
257	1041.802905
258	1039.226423
259	1023.910008
260	1021.290752
261	1018.790985
262	1014.7047
263	1012.386249
264	994.9580128
265	992.4542554
266	990.0637437
267	987.6972753
268	985.1270941
269	973.0472484
270	970.7439421
271	968.4646006
272	965.1761237
273	962.9470794
274	960.6859953
275	958.8134489
276	950.1668856
277	946.9679156
278	937.5849387
279	935.3954189
280	922.8206034
281	920.648782
282	915.3148546
283	913.3162572
284	911.2625256
285	909.2037566
286	907.1103823
287	900.1753795
288	898.4097577
289	887.2293902
290	885.3627379
291	883.3784802
292	880.4168198
293	878.7539019
294	868.5031092
295	865.9304379
296	864.0890246
297	862.1406051
298	860.0354744
299	858.5300754
300	856.8595543
301	842.7164472
302	840.841094
303	837.5602024
304	832.1191271
305	830.4657441
306	828.5735708
307	817.6471623
308	816.027456
309	814.2064948
310	812.4825703
311	810.732689
312	809.0107344
313	805.3937086
314	802.9076908
315	801.0043774
316	799.3092247
317	797.069609
318	793.8746224
319	792.2993239
320	790.6267228
321	778.4152486
322	767.3043879
323	765.3170712
324	763.6124135
325	753.1767089
326	751.5296041
327	750.1493752
328	734.2469766
329	732.3737353
330	731.0266714
331	724.0805772
332	722.0114866
333	714.2443433
334	712.703042
335	711.4109844
336	699.5951879
337	698.0282501
338	696.5295846
339	695.2229021
340	693.948753
341	685.7561987
342	679.7551932
343	677.9064481
344	676.3149969
345	674.1523296
346	673.1128327
347	671.8620518
348	670.6239687
349	669.145339
350	658.4624828
351	652.4502236
352	643.3110553
353	641.7891492
354	640.5376664
355	634.5080352
356	623.6491298
357	616.3697891
358	614.9054194
359	613.6071675
360	612.7101759
361	601.1411957
362	592.6569193
363	591.2868633
364	590.1284017
365	585.41291
366	584.1435403
367	582.0138058
368	581.0582749
369	579.959751
370	575.1136129
371	574.0250576
372	570.7083167
373	568.8371087
374	567.9668346
375	566.5619257
376	559.5574123
377	551.8603781
378	544.491759
379	543.5946318
380	542.3748291
381	541.3423251
382	540.2912614
383	534.1381108
384	533.4062486
385	528.61436
386	527.361214
387	522.3945637
388	521.3290334
389	512.3501337
390	511.0947728
391	509.938143
392	502.6278305
393	501.6620737
394	500.72727
395	498.5643628
396	497.4741158
397	496.3735336
398	495.3226348
399	489.6534679
400	488.5917277
401	487.5714226
402	480.8675606
403	475.7267794
404	469.5896238
405	468.5135137
406	467.5889773
407	466.8655668
408	462.3782293
409	461.5160577
410	460.5483283
411	454.3718881
412	453.4017781
413	452.5078897
414	449.3185412
415	447.5352913
416	446.5769785
417	445.7651973
418	444.9633444
419	444.1152639
420	442.8392646
421	442.0267935
422	433.3881194
423	432.5759698
424	431.7091242
425	430.8518781
426	429.93823
427	429.0445694
428	423.6559779
429	422.7661573
430	417.0208402
431	416.0396389
432	410.5295687
433	405.6329854
434	404.711266
435	403.8228777
436	400.7779037
437	400.0168141
438	399.0933553
439	398.3643432
440	394.2432254
441	393.3833342
442	392.5400707
443	389.187416
444	387.1184628
445	386.3505309
446	382.4401438
447	381.5585828
448	380.7121604
449	379.8860043
450	379.2267515
451	378.4677567
452	374.9116442
453	374.1831976
454	373.3859618
455	370.2930262
456	369.5111837
457	368.7468436
458	362.0407299
459	361.3677896
460	357.683752
461	356.8055381
462	356.0277177
463	355.2663373
464	351.2736331
465	350.5221999
466	349.7667151
467	349.1029796
468	346.0446885
469	345.3176963
470	342.196395
471	341.5218733
472	338.8581236
473	338.1412173
474	337.2668097
475	336.1551637
476	335.5741078
477	331.231445
478	330.5303714
479	329.9676573
480	328.036183
481	327.6497265
482	323.7929769
483	323.2249071
484	322.1150708
485	321.538705
486	315.7273938
487	315.0208235
488	314.4428148
489	313.7852907
490	308.3342575
491	305.8220761
492	305.2463031
493	304.6982292
494	304.2669641
495	300.5882219
496	299.9492564
497	299.3204918
498	294.9920062
499	294.4677055
500	292.2119899
501	291.6908827
502	288.6347569
503	287.9013623
504	287.2857395
505	284.4892921
506	283.8363501
507	283.3077714
508	282.7947301
509	282.2997493
510	281.7172589
511	280.0571406
512	279.5644859
513	278.9999836
514	276.6229276
515	276.250197
516	275.6882074
517	275.1947173
518	271.4525264
519	270.9832524
520	268.2209152
521	267.6559835
522	267.0913511
523	263.9005729
524	263.3547281
525	260.3629235
526	259.8529979
527	258.2814184
528	255.7422777
529	255.2359195
530	254.6709626
531	254.1398012
532	253.6144487
533	253.1475598
534	252.7092141
535	252.2003366
536	251.7535915
537	250.8196338
538	247.5092275
539	247.0405017
540	244.6219667
541	243.9879432
542	241.6209022
543	239.548815
544	239.1742045
545	236.5390907
546	236.1739385
547	235.5799567
548	233.9230287
549	232.3289479
550	231.8277233
551	230.1433005
552	229.6416284
553	226.3385984
554	223.6864861
555	223.2589041
556	222.767503
557	222.2815086
558	219.2686843
559	218.7680245
560	218.2743665
561	217.8209645
562	214.5211854
563	214.2110163
564	211.2354473
565	210.7819657
566	210.3390265
567	209.8782704
568	208.4150105
569	207.9826165
570	206.1751282
571	205.815741
572	204.5072442
573	204.0670025
574	203.632311
575	202.7354163
576	202.4184357
577	202.0016218
578	201.6130059
579	201.186805
580	199.2195008
581	198.8140609
582	196.5616752
583	196.1997149
584	194.9866145
585	194.6243505
586	192.4116493
587	192.0184378
588	191.7312965
589	191.2231558
590	190.803297
591	190.4393051
592	190.0618096
593	188.4529698
594	186.5687773
595	186.2982563
596	185.9859961
597	184.4061621
598	184.0182185
599	183.6097504
600	182.8190012
601	180.3164234
602	179.9520923
603	179.6481531
604	179.2962058
605	178.9913668
606	178.6493849
607	178.2833396
608	176.9700663
609	176.686607
610	176.2810202
611	174.5902437
612	174.2360616
613	171.9576144
614	168.4653951
615	168.1000232
616	167.7548164
617	167.3757902
618	167.0938183
619	165.0451877
620	164.698612
621	161.6321871
622	161.2991354
623	159.7963621
624	159.4673247
625	158.1604162
626	157.8420971
627	157.5372294
628	156.2220712
629	154.7982135
630	154.3914437
631	152.9758626
632	152.6480862
633	152.348157
634	152.0497673
635	151.7398937
636	150.7379954
637	150.4964607
638	150.1956833
639	149.925075
640	148.2618709
641	146.5180945
642	146.2874885
643	146.0861159
644	145.4694051
